Score	D100Min	D100Max	HitProb	DamageAdjust	WeightAllow	MaxPress	OpenDoors	D20Min	D20Max	BendBarsLiftGates
1	0	0	-5	-4	1	3	1	0	0	0%
2	0	0	-3	-2	1	5	1	0	0	0%
3	0	0	-3	-1	5	10	2	0	0	0%
4--5	0	0	-2	-1	10	25	3	0	0	0%
6--7	0	0	-1	0	20	55	4	0	0	0%
8--9	0	0	0	0	35	90	5	0	0	1%
10--11	0	0	0	0	40	115	6	0	0	2%
12--13	0	0	0	0	45	140	7	0	0	4%
14--15	0	0	0	0	55	170	8	0	0	7%
16	0	0	0	1	70	195	9	0	0	10%
17	0	0	1	1	85	220	10	0	0	13%
18	0	0	1	2	110	255	11	0	0	16%
18	1	50	1	3	135	280	12	0	0	20%
18	51	75	2	3	160	305	13	0	0	25%
18	76	90	2	4	185	330	14	0	0	30%
18	91	99	2	5	235	380	15	1	3	35%
18	100	100	3	6	335	480	16	4	6	40%
19	0	0	3	7	485	640	16	7	8	50%
20	0	0	3	8	535	700	17	9	10	60%
21	0	0	4	9	635	810	17	11	12	70%
22	0	0	4	10	785	970	18	13	14	80%
23	0	0	5	11	935	1130	18	15	16	90%
24	0	0	6	12	1235	1440	19	17	17	95%
25	0	0	7	14	1535	1750	19	18	20	99%
